,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
24,L,2,13:21:44,3/3/26,Manual gsw+F,LI-COR Default,,002,,,-0.030033,2.263806,-0.030436,-0.69135,1.151194,1.181657,3.414555,2.263361,11.593252,11.294384,33.500248,0.441786,7.5,PSF-00232_20260303132144_a77,0,0,0,69.634079,91.021156,0.234968,0.5,0.8,167.511017,1,39.87,40.93,23.39,26.2,26.2,101.93,101,-12.6,112.4,1782,3.829,13:17:15,3/3/26,-0.28,1,0,0.001,0.002,0.036,0.004,-0.147,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,88.010429,25,-2.051805,88.179588,88.081108,0.09848,2.469975,2.477331,1.206289,0.580017,0.290824,0.032895,0.170141,1.592899,69.634079,0.000619,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303132144_a77,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
25,L,3,13:24:49,3/3/26,Manual gsw+F,LI-COR Default,,003,,,-0.058229,2.095819,-0.059893,-1.582474,1.204354,1.281987,3.831334,2.62698,12.575462,11.813937,37.58292,0.441786,7.5,PSF-00232_20260303132449_596,0,0,0,73.806526,88.740128,0.168285,0.5,0.8,104.276718,1,37.88,40.33,25,28.16,28.16,101.94,90.7,-12.1,113.3,1549,3.823,13:17:15,3/3/26,-0.28,1,0.001,0.004,0.01,-0.249,-0.285,-0.753,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,86.277725,25,-1.687695,86.18045,86.321815,-0.141365,2.468736,2.474026,1.133109,0.580905,0.272761,0.037497,0.19063,1.39852,73.806526,0.000595,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303132449_596,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
26,L,4,13:28:32,3/3/26,Manual gsw+F,LI-COR Default,,004,,,-0.075844,2.230593,-0.078514,-2.026619,1.19391,1.285084,3.761117,2.567206,12.607016,11.712584,36.897572,0.441786,7.5,PSF-00232_20260303132832_eed,0,0,0,77.062729,94.272812,0.182556,0.5,0.8,145.686081,1,35.97,38.71,25.72,27.85,27.85,101.93,98.9,-12.4,112.6,1995,3.816,13:27:31,3/3/26,0.11,1,-0.001,0,0,-0.122,-0.063,-0.103,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,92.11528,25,-1.471859,92.274788,92.163773,0.111015,2.466201,2.470404,1.191101,0.580267,0.264967,0.025062,0.207786,1.770315,77.062729,0.0006,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303132832_eed,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
27,L,5,13:32:47,3/3/26,Manual gsw+F,LI-COR Default,,005,,,-0.088842,2.593487,-0.091993,-2.199954,1.144085,1.222694,3.52587,2.381786,11.995285,11.224081,34.590668,0.441786,7.5,PSF-00232_20260303133247_6bc,0,0,0,67.242981,98.543327,0.31763,0.5,0.8,168.555603,1,34.42,36.79,25.75,26.74,26.74,101.93,124.6,-10,108.1,1327,3.808,13:27:31,3/3/26,0.11,1,-0.001,-0.002,0.001,-0.211,-0.066,-0.073,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,93.978165,25,-3.118744,93.873741,94.074448,-0.200706,2.463338,2.468064,1.382872,0.58435,0.264742,0.011688,0.225267,1.213072,67.242981,0.000614,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303133247_6bc,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
,L,6,13:36:55,3/3/26,Manual gsw+F,LI-COR Default,,006,,,-0.239478,2.328121,-0.266936,-2.00939,1.143073,1.228081,1.898882,0.755809,12.048749,11.214732,18.630003,0.441786,7.5,PSF-00232_20260303133655_3d7,0,0,0,1.60861,1.687288,0.04663,0.5,0.8,32.255127,1,34.16,36.7,25.86,16.63,16.63,101.93,105.2,-12.9,112.3,1729,3.808,13:27:31,3/3/26,0.11,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.687288,25,-0.016933,1.623273,1.663025,-0.039752,2.463186,2.467644,1.23684,0.579389,0.263543,-0.102759,0.243359,1.548749,1.60861,0.000625,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303133655_3d7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
28,L,7,13:38:04,3/3/26,Manual gsw+F,LI-COR Default,,007,,,-0.02195,2.428571,-0.02215,-0.597747,1.257528,1.28123,3.937868,2.68034,12.570817,12.338259,38.636471,0.441786,7.5,PSF-00232_20260303133804_28b,0,0,0,72.420357,89.575348,0.191515,0.5,0.8,151.158234,1,37.34,38.04,25.97,28.64,28.64,101.92,112.2,-12.1,110.8,1973,3.803,13:27:31,3/3/26,0.11,1,0,0.001,0,-0.042,0.003,0.002,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,86.879608,25,-1.848665,86.862442,86.926376,-0.063934,2.465157,2.472415,1.287924,0.580767,0.2624,0.031659,0.248624,1.752064,72.420357,0.000603,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303133804_28b,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
29,L,8,13:42:05,3/3/26,Manual gsw+F,LI-COR Default,,008,,,-0.042535,2.265079,-0.043349,-1.248656,1.149358,1.204329,4.010736,2.861378,11.816701,11.277337,39.352776,0.441786,7.5,PSF-00232_20260303134205_8af,0,0,0,60.612202,68.830696,0.119402,0.5,0.8,95.834076,1,34.26,35.9,25.9,28.95,28.95,101.92,101.1,-12.9,112.8,2007,3.79,13:41:05,3/3/26,0.21,1,0,0,0,0.086,-0.076,-0.028,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,67.782997,25,-0.711897,67.982193,67.810616,0.171577,2.461981,2.467638,1.206879,0.579461,0.263094,0.036283,0.26481,1.779872,60.612202,0.000604,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303134205_8af,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
30,L,9,13:49:58,3/3/26,Manual gsw+F,LI-COR Default,,009,,,-0.021791,2.112623,-0.022018,-0.514784,1.147771,1.172751,3.475787,2.328016,11.510621,11.265443,34.115059,0.441786,7.5,PSF-00232_20260303134958_9f2,0,0,0,77.764038,132.143982,0.41152,0.5,0.8,281.029602,1,34.57,35.32,25.73,26.5,26.5,101.88,91.7,-12.4,113.6,1707,3.783,13:41:05,3/3/26,0.21,1,0,0.002,0.003,-1.754,-6.576,-22.162,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,123.367668,25,-6.161311,122.169617,123.315384,-1.145767,2.461154,2.468144,1.140044,0.580236,0.264944,0.009047,0.293258,1.530367,79.02002,0.000603,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303134958_9f2,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
31,L,10,13:54:13,3/3/26,Manual gsw+F,LI-COR Default,,010,,,0.001508,2.503137,0.001507,0.029886,1.176298,1.175168,3.154382,1.978083,11.534284,11.545382,30.960291,0.441786,7.5,PSF-00232_20260303135413_313,0,0,0,101.088165,377.75116,0.732395,0.5,0.8,83.392868,1,36.1,36.06,25.41,24.87,24.87,101.88,117.6,-11.9,110.1,285,3.773,13:53:52,3/3/26,0.18,1,-0.002,-0.003,-0.008,-3.291,-0.583,-7.102,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,369.096283,25,-5.735079,369.517914,369.533325,-0.015411,2.462327,2.470573,1.328933,0.581212,0.26829,-0.006358,0.309105,0.344382,101.088165,0.000628,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303135413_313,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
32,L,11,14:00:54,3/3/26,Manual gsw+F,LI-COR Default,,011,,,0.004139,2.691494,0.004132,0.103696,1.161386,1.157915,3.6574,2.496013,11.366061,11.400141,35.900944,0.441786,7.5,PSF-00232_20260303140054_44a,0,0,0,135.56778,164.542786,0.176094,0.5,0.8,122.650589,1,36.27,36.16,25.12,27.37,27.37,101.87,132.9,-8.2,106.2,1741,3.744,13:53:52,3/3/26,0.18,1,-0.001,-0.002,-0.003,-0.301,-0.048,1.48,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,160.785202,25,-2.548319,160.858154,160.891281,-0.033127,2.462532,2.470889,1.44791,0.587437,0.271451,0.026519,0.331901,1.558712,135.56778,0.000598,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303140054_44a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
33,L,12,14:17:51,3/3/26,Manual gsw+F,LI-COR Default,,012,,,-0.028207,2.45332,-0.028535,-0.889223,1.183494,1.218215,4.27308,3.089586,11.958142,11.617319,41.945061,0.441786,7.5,PSF-00232_20260303141751_e40,0,0,0,68.282959,89.548096,0.237472,0.5,0.8,189.464798,1,33.21,34.19,26.93,30.05,30.05,101.87,113.9,-11.7,110.3,1995,3.736,14:16:20,3/3/26,0.22,1,0,0.002,0.002,0.103,0.089,0.035,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,83.951355,25,-3.85558,83.320854,84.023399,-0.702545,2.459213,2.465843,1.301219,0.581469,0.252606,0.03746,0.377941,1.769913,68.282959,0.000592,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303141751_e40,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
34,L,13,14:22:27,3/3/26,Manual gsw+F,LI-COR Default,,013,,,-0.045751,2.464318,-0.046617,-1.414274,1.126588,1.181457,4.137354,3.010766,11.597518,11.058916,40.613457,0.441786,7.5,PSF-00232_20260303142227_b9a,0,0,0,86.279152,112.332993,0.231934,0.5,0.8,180.324768,1,30.86,32.36,27.34,29.49,29.49,101.87,114.7,-8.4,107.4,1944,3.731,14:16:20,3/3/26,0.22,1,0,0,0,-0.111,-0.265,-0.232,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,106.871727,25,-3.739954,106.555222,106.973976,-0.418755,2.456385,2.462168,1.307225,0.587083,0.248516,0.025669,0.389603,1.727482,86.279152,0.000583,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303142227_b9a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
35,L,14,14:25:47,3/3/26,Manual gsw+F,LI-COR Default,,014,,,-0.054533,2.612355,-0.055696,-1.583401,1.116062,1.171929,3.940056,2.823994,11.505068,10.956606,38.680328,0.441786,7.5,PSF-00232_20260303142547_ed5,0,0,0,74.287178,99.984818,0.257015,0.5,0.8,208.533646,1,30.27,31.79,27.5,28.65,28.65,101.86,126.1,-10.8,108.6,2028,3.727,14:16:20,3/3/26,0.22,1,-0.002,-0.003,-0.003,-0.136,-0.053,-0.035,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,95.029953,25,-3.350904,95.324997,95.183281,0.141716,2.455482,2.461234,1.394813,0.583059,0.246868,0.013436,0.396133,1.798101,74.287178,0.000609,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303142547_ed5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
36,L,15,14:28:05,3/3/26,Manual gsw+F,LI-COR Default,,015,,,-0.031172,2.500034,-0.031566,-0.984189,1.171829,1.209137,4.263313,3.091484,11.869383,11.503153,41.850426,0.441786,7.5,PSF-00232_20260303142805_a56,0,0,0,71.671127,92.513412,0.225289,0.5,0.8,179.48407,1,31.17,32.17,27.84,30.01,30.01,101.87,117.4,-11.9,110.1,1992,3.711,14:27:42,3/3/26,0.24,1,-0.001,-0.001,0.005,-0.011,0.076,0.141,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,88.638428,25,-2.636286,88.467834,88.735855,-0.268021,2.455992,2.462527,1.327168,0.581174,0.24362,0.025986,0.403058,1.767497,71.671127,0.00059,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303142805_a56,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
37,L,1,15:15:04,3/3/26,Manual gsw+F,LI-COR Default,,001,,,-0.039468,2.468287,-0.040109,-1.270249,1.133828,1.182961,4.27316,3.139332,11.616877,11.134378,41.96315,0.441786,7.5,PSF-00232_20260303151504_407,0,0,0,83.588722,101.794037,0.178845,0.5,0.8,142.519867,1,31.78,33.15,26.95,30.05,30.05,101.83,115,-9.8,108.6,1992,3.705,15:14:38,3/3/26,0.26,1,0.001,0.002,0.002,-0.049,0.034,-0.145,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,99.248886,25,-1.719435,99.721313,99.330246,0.391068,2.457653,2.463577,1.309408,0.584674,0.252387,0.037202,0.187995,1.767934,83.67276,0.000603,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303151504_407,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
38,L,2,15:19:15,3/3/26,Manual gsw+F,LI-COR Default,,002,,,-0.033966,2.893667,-0.03437,-1.022426,1.147846,1.177506,4.098782,2.950935,11.56444,11.273151,40.254677,0.441786,7.5,PSF-00232_20260303151915_19a,0,0,0,57.668209,69.182487,0.166433,0.5,0.8,124.510597,1,31.38,32.2,27.37,29.33,29.33,101.82,153.3,-12,107.8,1870,3.702,15:14:38,3/3/26,0.26,1,0.003,0.004,-0.002,-0.062,-0.045,0.148,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,67.280891,25,-1.294111,67.349197,67.328148,0.021049,2.456123,2.4629,1.614795,0.581039,0.248199,0.023309,0.212847,1.666265,57.668209,0.0006,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303151915_19a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
39,L,3,15:21:20,3/3/26,Manual gsw+F,LI-COR Default,,003,,,-0.007761,2.512519,-0.007785,-0.250129,1.178184,1.187585,4.360601,3.182418,11.663203,11.570871,42.825203,0.441786,7.5,PSF-00232_20260303152120_b57,0,0,0,89.318634,110.950691,0.19497,0.5,0.8,145.93483,1,31.75,32.01,27.61,30.41,30.41,101.82,118.3,-8.7,107.4,1871,3.698,15:14:38,3/3/26,0.26,1,-0.001,0.001,0.012,-0.346,-0.493,-1.963,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,106.82666,25,-2.832171,106.500153,106.892448,-0.392296,2.455793,2.463424,1.334304,0.58661,0.24579,0.033505,0.223862,1.667074,89.49852,0.000596,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303152120_b57,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
40,L,4,15:23:26,3/3/26,Manual gsw+F,LI-COR Default,,004,,,-0.041843,2.686367,-0.042505,-1.576298,1.114902,1.167853,4.781439,3.666537,11.470257,10.950191,46.961681,0.441786,7.5,PSF-00232_20260303152326_116,0,0,0,79.557892,101.321938,0.214801,0.5,0.8,169.676529,1,29.01,30.38,28.22,32.02,32.02,101.82,132.4,-11.5,108.7,1975,3.694,15:14:38,3/3/26,0.26,1,0,0,0.001,-0.132,-0.331,-1.303,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,96.16935,25,-3.555858,95.589996,96.226715,-0.636719,2.453213,2.459081,1.444309,0.581838,0.239968,0.046252,0.23478,1.753413,79.557892,0.000588,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303152326_116,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
41,L,5,15:26:50,3/3/26,Manual gsw+F,LI-COR Default,,005,,,-0.058811,2.569987,-0.060189,-2.076197,1.017496,1.092813,4.434926,3.417429,10.735188,9.99532,43.566261,0.441786,7.5,PSF-00232_20260303152650_b80,0,0,0,86.280228,104.129562,0.171415,0.5,0.8,133.686264,1,25.04,26.89,29.18,30.7,30.7,101.8,122.7,-9,107.3,1950,3.692,15:26:26,3/3/26,0.31,1,-0.001,-0.001,-0.001,-0.068,-0.199,-0.559,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,101.698997,25,-1.637817,102.151749,101.782722,0.369026,2.447663,2.452619,1.368344,0.586184,0.231015,0.018165,0.250982,1.732519,86.280228,0.000613,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303152650_b80,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
42,L,6,15:28:44,3/3/26,Manual gsw+F,LI-COR Default,,006,,,-0.043349,2.529696,-0.044105,-1.550051,1.079438,1.137105,4.557999,3.47856,11.170405,10.603912,44.775703,0.441786,7.5,PSF-00232_20260303152844_544,0,0,0,76.794144,101.247025,0.241517,0.5,0.8,177.615646,1,26.13,27.53,29.46,31.18,31.18,101.8,119.6,-9.4,107.9,1839,3.689,15:26:26,3/3/26,0.31,1,0.004,0.01,0.013,-0.1,-0.04,-0.55,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,95.002052,25,-4.4056,93.804718,94.934204,-1.129486,2.448606,2.454311,1.344268,0.58537,0.228439,0.02061,0.259242,1.639809,76.794144,0.000616,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303152844_544,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
43,L,7,15:30:20,3/3/26,Manual gsw+F,LI-COR Default,,007,,,0.001749,2.543059,0.001747,0.062308,1.181222,1.178926,4.706244,3.525022,11.580467,11.603022,46.228931,0.441786,7.5,PSF-00232_20260303153020_1b7,0,0,0,126.330612,155.444778,0.187296,0.5,0.8,138.147675,1,28.19,28.14,29.71,31.74,31.74,101.8,120.6,5.4,95.5,1844,3.687,15:26:26,3/3/26,0.31,1,0.004,0.008,0.014,-0.384,-0.935,-2.294,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,150.830627,25,-3.155926,150.817749,150.922623,-0.104874,2.449513,2.457505,1.352142,0.611276,0.226232,0.024574,0.266369,1.644339,126.330612,0.000605,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303153020_1b7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
44,L,8,15:31:51,3/3/26,Manual gsw+F,LI-COR Default,,008,,,-0.043458,2.526154,-0.044218,-1.610382,1.079622,1.139673,4.682285,3.602663,11.194805,10.604929,45.993248,0.441786,7.5,PSF-00232_20260303153151_1c3,0,0,0,75.760246,94.826622,0.201066,0.5,0.8,156.291718,1,25.37,26.78,29.98,31.65,31.65,101.8,119.3,-11.6,109.7,1943,3.685,15:26:26,3/3/26,0.31,1,-0.003,-0.005,-0.002,-0.368,-1.425,-4.7,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,89.95414,25,-3.39262,89.242813,89.965309,-0.722496,2.447372,2.453036,1.3422,0.581663,0.223844,0.020165,0.272811,1.727136,75.760246,0.000631,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20260303153151_1c3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
