,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
D,Garcia,E,11,1,10:44:33,8/9/24,Manual gsw+F,LI-COR Default,,001,,-0.001415788,1.84002392,-0.001416878,-0.028014605,1.384729,1.386283,3.267931569,1.883202569,14.208488,14.19256,33.49320046,0.4417875,7.5,PSF-00232_20240809104433_f5c,0,0,0,208.912613,617.956665,0.66193,0.5,0.8,3.706808,1,44.56,44.61,24.61,25.46,25.46,97.57,76.6,-10.3,113.4,14,3.792,10:44:03,8/9/24,0,1,0.001,0.001,-0.003,1.31,2.208,5.057,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,599.853882,25,-12.297229,593.218445,600.335876,-7.117432,2.475084,2.483556,1.037088,0.583903,0.276961,0.009889,0.121517,0.119032,208.912613,0.000658,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809104433_f5c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,E,11,2,10:45:41,8/9/24,Manual gsw+F,LI-COR Default,,002,,-0.046028884,1.74036072,-0.047279322,-0.911273036,1.391505,1.445729,3.227379737,1.835874737,14.8188,14.262992,33.08097311,0.4417875,7.5,PSF-00232_20240809104541_2b0,0,0,0,138.714905,411.430878,0.662848,0.5,0.8,5.5679232,1,44.06,45.78,24.89,25.25,25.25,97.56,71.4,-9.8,113.7,21,3.79,10:44:03,8/9/24,0,1,0,0,-0.001,0.409,1.201,5.835,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,408.031586,25,-2.281698,406.404388,408.161407,-1.757019,2.476698,2.482754,1.003,0.584822,0.27396,0.004302,0.130092,0.124351,138.714905,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809104541_2b0,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,E,11,3,10:46:38,8/9/24,Manual gsw+F,LI-COR Default,,003,,-0.040938408,1.703028,-0.041946749,-0.848283537,1.440127,1.491952,3.364288029,1.924161029,15.294225,14.762961,34.48783218,0.4417875,7.5,PSF-00232_20240809104638_196,0,0,0,106.12822,197.827484,0.463531,0.5,0.8,8.343558,1,44.77,46.38,25.19,25.95,25.95,97.55,69.5,-9.3,113.3,45,3.787,10:44:03,8/9/24,0,1,0.001,0.001,-0.001,-0.09,-0.27,-0.717,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,195.014481,25,-1.877232,194.598557,195.137589,-0.539032,2.477497,2.48372,0.990842,0.58569,0.270618,0.008836,0.136531,0.144269,106.12822,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809104638_196,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,1,11:31:30,8/9/24,Manual gsw+F,LI-COR Default,,001,,-0.029203322,1.742312,-0.02970115,-0.655130002,1.400355,1.43962,3.51657871,2.11622371,14.630319,14.231285,35.73758852,0.4417875,7.5,PSF-00232_20240809113130_6ee,0,0,0,115.97657,494.238464,0.765343,0.5,0.8,8.5718416,1,41.51,42.67,26,26.7,26.7,98.4,71.5,-11.7,116.3,28,3.79,11:31:09,8/9/24,0.05,1,0,0,0.002,0.204,0.274,1.144,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,490.214813,25,-3.079748,491.607056,489.82547,1.781586,2.471946,2.478688,1.004087,0.58152,0.262104,0.008219,0.156318,0.130114,115.755913,0.000662,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113130_6ee,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,2,11:31:50,8/9/24,Manual gsw+F,LI-COR Default,,002,,-0.037526039,1.70104952,-0.038372558,-0.822541967,1.435371,1.486144,3.491815101,2.056444101,15.102893,14.586916,35.48592582,0.4417875,7.5,PSF-00232_20240809113150_399,0,0,0,114.531036,513.431641,0.77693,0.5,0.8,8.080072,1,42.32,43.81,26.09,26.58,26.58,98.4,69.4,-11.1,115.9,26,3.79,11:31:09,8/9/24,0.05,1,0,0,-0.001,0.104,0.14,0.328,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,513.431641,25,1.316783,515.812744,515.318481,0.494263,2.473581,2.479855,0.990426,0.582609,0.261151,0.005634,0.158994,0.128875,114.531036,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113150_399,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,3,11:32:07,8/9/24,Manual gsw+F,LI-COR Default,,003,,-0.054577763,1.69113672,-0.056397882,-1.2274341,1.414069,1.490401,3.502114706,2.088045706,15.146157,14.370435,35.5905966,0.4417875,7.5,PSF-00232_20240809113207_7fc,0,0,0,113.661285,478.089447,0.762259,0.5,0.8,6.7078792,1,41.52,43.76,26.16,26.63,26.63,98.4,68.9,-11.2,116.2,22,3.788,11:31:09,8/9/24,0.05,1,0,0.001,-0.004,0.282,0.584,1.791,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,476.128571,25,-1.447373,476.906067,476.015503,0.890564,2.473482,2.478663,0.986841,0.582419,0.26042,0.005414,0.160949,0.125683,113.661285,0.000643,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113207_7fc,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,4,11:32:31,8/9/24,Manual gsw+F,LI-COR Default,,004,,-0.027231244,1.65717888,-0.027686192,-1.024230894,1.480868,1.546127,5.001234927,3.520366927,15.712996,15.049778,50.8255582,0.4417875,7.5,PSF-00232_20240809113231_a2c,0,0,0,94.140175,104.289536,0.097319,0.5,0.8,70.458956,1,43.09,44.99,26.31,32.82,32.82,98.4,67.2,-4.3,106.4,1810,3.786,11:31:09,8/9/24,0.05,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,101.883888,25,-2.052259,100.608589,101.348839,-0.74025,2.475225,2.480935,0.976103,0.5942,0.258851,0.079518,0.163803,1.616002,94.140175,0.000629,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113231_a2c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,5,11:32:47,8/9/24,Manual gsw+F,LI-COR Default,,005,,-0.02374326,1.65918728,-0.024087963,-0.728940788,1.524105,1.570461,4.412025742,2.887920742,15.959926,15.488828,44.83765998,0.4417875,7.5,PSF-00232_20240809113247_f75,0,0,0,71.387527,81.33902,0.122346,0.5,0.8,91.270116,1,44.03,45.37,26.43,30.61,30.61,98.4,67.3,-12.6,118.7,1865,3.785,11:31:09,8/9/24,0.05,1,0.001,0.001,0.003,-0.914,-1.635,-1.843,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,78.981758,25,-1.850932,78.014732,78.686806,-0.672073,2.475741,2.482275,0.976529,0.580005,0.257591,0.050304,0.165536,1.661642,71.387527,0.000615,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113247_f75,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,6,11:33:03,8/9/24,Manual gsw+F,LI-COR Default,,006,,-0.037787916,1.64509992,-0.03867631,-1.203843796,1.484723,1.562116,4.455096402,2.970373402,15.875205,15.088691,45.27536994,0.4417875,7.5,PSF-00232_20240809113303_7b7,0,0,0,55.506348,64.149765,0.134738,0.5,0.8,46.5654528,1,42.56,44.78,26.56,30.78,30.78,98.4,66.6,-12.5,118.7,864,3.784,11:31:09,8/9/24,0.05,1,0,0,-0.002,-0.33,-1.436,-1.161,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,63.102722,25,-0.784901,62.837719,63.025074,-0.187355,2.474865,2.480106,0.972016,0.580188,0.256258,0.050782,0.167323,0.827708,55.506348,0.000629,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113303_7b7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,7,11:33:34,8/9/24,Manual gsw+F,LI-COR Default,,007,,-0.047478646,1.60652688,-0.048924542,-1.754127508,1.435936,1.552072,4.851283573,3.415347573,15.773648,14.593366,49.30166233,0.4417875,7.5,PSF-00232_20240809113334_91d,0,0,0,56.052803,72.630791,0.22825,0.5,0.8,158.0403,1,40.48,43.76,26.85,32.28,32.28,98.4,64.7,-12.6,119.5,1731,3.78,11:31:09,8/9/24,0.05,1,-0.001,-0.002,-0.002,-0.231,-0.469,-1.624,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,69.024681,25,-2.600465,68.314072,68.904564,-0.590492,2.473327,2.476996,0.960242,0.579914,0.253402,0.066188,0.170677,1.549978,58.694244,0.000614,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113334_91d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,8,11:35:18,8/9/24,Manual gsw+F,LI-COR Default,,008,,-0.047291575,1.52581248,-0.048804231,-2.172588356,1.405366,1.558504,5.629631145,4.224265145,15.836764,14.280653,57.20588502,0.4417875,7.5,PSF-00232_20240809113518_ac7,0,0,0,73.08519,78.691719,0.071247,0.5,0.8,55.287672,1,37.46,41.54,27.8,34.94,34.94,98.41,60.8,-12.5,120.6,1940,3.779,11:31:09,8/9/24,0.05,1,-0.001,0,0.001,-0.123,-0.701,-2.818,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,78.691719,25,0.343706,79.375504,79.184219,0.191284,2.469898,2.472319,0.935632,0.580062,0.243945,0.088608,0.180506,1.724556,73.08519,0.000623,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113518_ac7,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,9,11:35:38,8/9/24,Manual gsw+F,LI-COR Default,,009,,-0.069924273,1.51110632,-0.073316907,-2.086018313,1.420836,1.569571,4.141999114,2.721163114,15.948206,14.436938,42.08493308,0.4417875,7.5,PSF-00232_20240809113538_5ab,0,0,0,81.340317,143.680313,0.43388,0.5,0.8,44.25576,1,37.42,41.34,28.01,29.51,29.51,98.42,60.1,-11.8,119.7,255,3.777,11:31:09,8/9/24,0.05,1,0.002,0.002,0.007,0.92,1.546,21.241,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,136.553055,25,-4.807346,135.538101,136.791824,-1.253723,2.469553,2.472217,0.931534,0.581278,0.241958,0.017793,0.182215,0.319371,81.340317,0.000652,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113538_5ab,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,H,12,10,11:36:00,8/9/24,Manual gsw+F,LI-COR Default,,010,,-0.061086795,1.50267288,-0.06367533,-2.31941774,1.405336,1.571846,4.876000272,3.470664272,15.971364,14.279475,49.54277862,0.4417875,7.5,PSF-00232_20240809113600_3df,0,0,0,152.173157,168.618729,0.097531,0.5,0.8,74.0065228,1,36.56,40.89,28.22,32.37,32.37,98.42,59.7,-11.4,119.2,1897,3.777,11:31:09,8/9/24,0.05,1,-0.001,-0.001,-0.003,-0.89,-2.278,-5.28,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,167.913086,25,-0.455251,168.677689,167.9664,0.711288,2.46886,2.470894,0.928678,0.581949,0.239947,0.050536,0.184143,1.688708,152.173157,0.000608,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809113600_3df,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,H,12,1,12:01:31,8/9/24,Manual gsw+F,LI-COR Default,,001,,-0.105575726,1.53209472,-0.113389316,-3.654646342,1.448671,1.704894,4.52425568,3.07558468,17.32431,14.720694,45.97353602,0.4417875,7.5,PSF-00232_20240809120131_957,0,0,0,129.750244,273.987305,0.526437,0.5,0.8,7.7912676,1,31.85,37.49,31.14,31.05,31.05,98.41,61.1,-11.4,118.6,37,3.777,12:01:17,8/9/24,0.17,1,0,-0.001,-0.001,0.334,0.745,1.788,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,270.704987,25,-2.165618,269.906403,270.884186,-0.977783,2.463284,2.463093,0.93747,0.582058,0.213825,-0.001521,0.164645,0.138093,129.750244,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809120131_957,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,H,12,2,12:02:23,8/9/24,Manual gsw+F,LI-COR Default,,002,,-0.098820407,1.48574072,-0.105861527,-3.412935665,1.534099,1.782076,4.607431556,3.073332556,18.109972,15.589962,46.82349143,0.4417875,7.5,PSF-00232_20240809120223_586,0,0,0,138.545044,463.809113,0.701289,0.5,0.8,3.0856716,1,33.29,38.67,31.37,31.37,31.37,98.4,58.9,-9.7,116.5,11,3.774,12:01:17,8/9/24,0.17,1,0,0,0,0.519,1.514,19.813,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,446.917877,25,-14.121861,437.671051,443.573761,-5.90271,2.464962,2.465218,0.923949,0.58494,0.211883,-0.000547,0.170019,0.116388,138.545044,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809120223_586,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,H,12,3,12:03:14,8/9/24,Manual gsw+F,LI-COR Default,,003,,-0.085367994,1.487862,-0.090564233,-3.457816163,1.533912,1.784756,5.163876749,3.629964749,18.134951,15.58612,52.46775807,0.4417875,7.5,PSF-00232_20240809120314_cc8,0,0,0,115.533112,267.506134,0.56811,0.5,0.8,9.08976,1,32.8,38.16,31.63,33.39,33.39,98.42,59,-10.2,117.3,40,3.773,12:01:17,8/9/24,0.17,1,0,-0.001,0,-0.537,-0.956,-0.855,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,253.874298,25,-10.597744,247.857208,252.320526,-4.463318,2.464167,2.464432,0.9245,0.584022,0.209731,0.021386,0.175014,0.1404,115.533112,0.000644,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809120314_cc8,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,1,12:37:32,8/9/24,Manual gsw+F,LI-COR Default,,001,,-0.070518872,1.683182,-0.073602536,-3.793603764,1.556502,1.791753,6.387942789,4.831440789,18.337833,15.930142,65.3765509,0.4417875,7.5,PSF-00232_20240809123732_c99,0,0,0,112.129929,124.542114,0.099663,0.5,0.8,76.0628016,1,28.62,32.95,34.32,37.24,37.24,97.71,68.5,-2.7,103.9,1908,3.777,12:37:10,8/9/24,0.22,1,0,0.001,0.003,-0.204,-0.313,-0.98,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,124.542114,25,0.342799,125.864624,125.033318,0.831306,2.456006,2.457589,0.984725,0.597084,0.188852,0.037141,0.14032,1.69753,112.129929,0.000623,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809123732_c99,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,2,12:38:01,8/9/24,Manual gsw+F,LI-COR Default,,002,,-0.085421292,1.57366352,-0.090324256,-4.788725069,1.463439,1.786067,6.433331204,4.969892204,18.282867,14.980321,65.8545522,0.4417875,7.5,PSF-00232_20240809123801_197,0,0,0,81.825615,90.005394,0.090881,0.5,0.8,71.9413996,1,26.83,32.75,34.37,37.37,37.37,97.69,63.1,-0.6,101,1979,3.775,12:37:10,8/9/24,0.22,1,0.001,0.002,0.003,-1.4,-3.549,-11.905,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,88.407394,25,-1.222468,87.943909,88.253708,-0.309799,2.455701,2.454829,0.950045,0.600607,0.18847,0.038161,0.144278,1.756718,81.825615,0.000627,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809123801_197,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,3,12:38:28,8/9/24,Manual gsw+F,LI-COR Default,,003,,-0.121766325,1.550868,-0.132141401,-5.921149168,1.402904,1.809181,5.62339643,4.22049243,18.51848,14.35989,57.55779355,0.4417875,7.5,PSF-00232_20240809123828_fc3,0,0,0,92.706085,149.155533,0.37846,0.5,0.8,137.153904,1,25.68,33.12,34.4,34.92,34.92,97.7,62,-7,111.3,906,3.772,12:37:10,8/9/24,0.22,1,0,0.001,0.002,2.455,-2.214,-6.391,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,137.768982,25,-8.93,133.272171,136.35965,-3.087479,2.456239,2.453032,0.9432,0.589565,0.188244,0.00605,0.147435,0.862014,95.277428,0.000642,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809123828_fc3,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,4,12:39:07,8/9/24,Manual gsw+F,LI-COR Default,,004,,-0.095526238,1.55917632,-0.101760831,-5.720162855,1.429806,1.81967,6.693440472,5.263634472,18.625744,14.63518,68.51013789,0.4417875,7.5,PSF-00232_20240809123907_60e,0,0,0,62.172531,68.271645,0.089336,0.5,0.8,72.004816,1,26.06,33.16,34.48,38.1,38.1,97.7,62.4,-12.1,119.4,2015,3.77,12:37:10,8/9/24,0.22,1,0.002,0,0.001,-0.042,-0.2,-0.896,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,67.925331,25,-0.218103,68.238258,67.959122,0.279137,2.456291,2.453608,0.945968,0.580784,0.18766,0.046332,0.151852,1.787105,62.172531,0.000603,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809123907_60e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,5,12:39:38,8/9/24,Manual gsw+F,LI-COR Default,,005,,-0.094570413,1.59013872,-0.100550456,-5.539276669,1.447154,1.815753,6.606936297,5.159782297,18.586029,14.813051,67.63165418,0.4417875,7.5,PSF-00232_20240809123938_b18,0,0,0,86.064934,100.090096,0.140125,0.5,0.8,108.737,1,26.24,32.93,34.57,37.86,37.86,97.69,63.9,-11.2,117.6,1940,3.77,12:37:10,8/9/24,0.22,1,-0.001,-0.001,0.001,-0.139,-0.263,-0.29,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,98.781464,25,-0.874228,99.077225,98.83741,0.239815,2.455929,2.453885,0.955016,0.582285,0.187014,0.042102,0.155075,1.724068,86.064934,0.000615,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809123938_b18,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,6,12:40:08,8/9/24,Manual gsw+F,LI-COR Default,,006,,-0.098873766,1.59629448,-0.10540234,-5.690853982,1.409697,1.786771,6.471955169,5.062258169,18.288853,14.429241,66.243144,0.4417875,7.5,PSF-00232_20240809124008_602,0,0,0,132.212524,164.394089,0.195759,0.5,0.8,135.2303172,1,25.4,32.2,34.68,37.48,37.48,97.7,64.2,-11.6,118.1,1727,3.768,12:37:10,8/9/24,0.22,1,-0.001,-0.001,-0.001,-1.998,-5.134,-14.671,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,162.531494,25,-4.349374,157.190323,158.161835,-0.971512,2.454823,2.452557,0.957048,0.581679,0.186177,0.035627,0.158143,1.547149,132.212524,0.000603,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809124008_602,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,7,12:40:40,8/9/24,Manual gsw+F,LI-COR Default,,007,,-0.096023519,1.62079512,-0.102070665,-5.4053853,1.410347,1.761912,6.377508104,4.967161104,18.035419,14.436709,65.28312113,0.4417875,7.5,PSF-00232_20240809124040_9f9,0,0,0,80.783485,93.631462,0.137219,0.5,0.8,109.0067736,1,25.25,31.54,34.8,37.21,37.21,97.69,65.4,-11.3,117.3,1986,3.767,12:37:10,8/9/24,0.22,1,0.001,0.001,0.002,-1.703,-3.758,-9.079,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,90.453384,25,-2.401406,89.566826,90.190468,-0.623642,2.453833,2.452304,0.964653,0.582154,0.185336,0.030504,0.161328,1.762932,80.783485,0.000607,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809124040_9f9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,8,12:41:03,8/9/24,Manual gsw+F,LI-COR Default,,008,,-0.088705225,1.65717888,-0.09372196,-5.197110621,1.431135,1.760032,6.624877556,5.193742556,18.015951,14.649309,67.8153092,0.4417875,7.5,PSF-00232_20240809124103_3d4,0,0,0,82.029816,96.140312,0.14677,0.5,0.8,116.300548,1,25.51,31.37,34.88,37.91,37.91,97.69,67.2,-12,117.9,1981,3.766,12:37:10,8/9/24,0.22,1,-0.001,0,0.001,0.03,0.003,-0.414,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,94.931961,25,-0.814374,95.461967,94.973389,0.488579,2.453566,2.4527,0.975876,0.580977,0.184772,0.038802,0.163445,1.758288,82.029816,0.000597,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809124103_3d4,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,Garcia,G,13,9,12:41:22,8/9/24,Manual gsw+F,LI-COR Default,,009,,-0.106231043,1.66520432,-0.113469804,-5.508615234,1.388075,1.734779,5.952400696,4.564325696,17.757368,14.208464,60.9315252,0.4417875,7.5,PSF-00232_20240809124122_080,0,0,0,153.354767,186.437332,0.177446,0.5,0.8,126.9093792,1,24.67,30.83,34.93,35.95,35.95,97.69,67.6,-11.9,117.6,1788,3.765,12:37:10,8/9/24,0.22,1,0.001,0.002,0.004,-2.524,-6.906,-28.486,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,183.650497,25,-1.898997,184.449799,183.716248,0.733551,2.452747,2.451377,0.978861,0.581125,0.184385,0.012508,0.165149,1.598087,153.354767,0.000609,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809124122_080,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,Garcia,G,13,1,12:58:12,8/9/24,Manual gsw+F,LI-COR Default,,001,,-0.091791964,1.72077312,-0.096964377,-4.260387007,1.471158,1.728418,5.607835892,4.136677892,17.691977,15.058678,57.40440058,0.4417875,7.5,PSF-00232_20240809125812_c88,0,0,0,112.254738,200.074982,0.438937,0.5,0.8,3.3359212,1,26.58,31.23,34.63,34.87,34.87,97.69,70.4,-10.3,114.7,19,3.766,12:57:34,8/9/24,0.41,1,0,0,-0.001,-0.144,-0.175,0.272,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,197.196716,25,-1.944341,196.333405,197.288925,-0.955521,2.45339,2.454105,0.996953,0.583855,0.186525,0.002503,0.15178,0.122545,112.756851,0.000654,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240809125812_c88,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
